,time,open,high,low,close,MA,Histogram,MACD,Signal,RSI,RSI-based MA
9064,2020-10-13 09:00:00+07:00,926.76,927.21,923.78,926.72,912.1507865,0.279373438,3.613626979,3.334253541,58.89041592,61.98820629
9065,2020-10-13 10:00:00+07:00,926.83,927.04,925.36,925.76,912.457191,0.029899244,3.371627595,3.341728352,56.98640374,62.20195629
9066,2020-10-13 11:00:00+07:00,925.57,926.88,924.31,926.88,912.8360674,-0.087023832,3.232948562,3.319972394,58.66547647,62.5861022
9067,2020-10-13 13:00:00+07:00,927.22,930.96,927.22,929.55,913.2350562,-0.01562141,3.300445632,3.316067041,62.43057405,62.99368581
9068,2020-10-13 14:00:00+07:00,929.93,930.65,929.42,929.86,913.601573,0.019502671,3.34044538,3.320942709,62.85364636,63.35069708
9069,2020-10-14 09:00:00+07:00,931.89,936.22,931.89,935.49,914.0088764,0.369512448,3.78283327,3.413320821,69.55835041,64.00109137
9070,2020-10-14 10:00:00+07:00,935.68,938.04,935.45,935.68,914.4211236,0.550528105,4.101480952,3.550952847,69.75674138,64.58271438
9071,2020-10-14 11:00:00+07:00,935.59,936.39,935.34,936.14,914.8310112,0.632108384,4.341088328,3.708979944,70.26204651,65.01240623
9072,2020-10-14 13:00:00+07:00,936.04,939.05,936.04,937.31,915.2395506,0.690957762,4.572677146,3.881719384,71.56345795,65.43850382
9073,2020-10-14 14:00:00+07:00,937.24,940.18,937.1,940.18,915.5998876,0.839390064,4.930956964,4.0915669,74.51025211,65.42847158
9074,2020-10-15 09:00:00+07:00,945.28,945.93,939.99,940.97,915.9664045,0.901536262,5.218487227,4.316950965,75.26992789,65.90911894
9075,2020-10-15 10:00:00+07:00,940.31,940.58,939.35,939.78,916.3123596,0.777928436,5.28936151,4.511433074,71.79869432,65.85246767
9076,2020-10-15 11:00:00+07:00,939.62,939.9,938.7,939.53,916.6685393,0.602588861,5.26466915,4.66208029,71.05730082,66.51973257
9077,2020-10-15 13:00:00+07:00,939.44,944.33,939.44,943.73,917.0706742,0.6866316,5.52036979,4.83373819,75.61326103,67.80118207
9078,2020-10-15 14:00:00+07:00,943.74,944.26,939.86,942.76,917.5038202,0.597342196,5.580415935,4.983073739,72.7644271,68.79218287
9079,2020-10-16 09:00:00+07:00,944.03,944.55,935.98,942.42,917.8935955,0.442935924,5.536743644,5.09380772,71.74408192,69.84630274
9080,2020-10-16 10:00:00+07:00,942.45,944.44,941.09,943.92,918.2907865,0.372224855,5.559088788,5.186863933,73.50899553,70.9065541
9081,2020-10-16 11:00:00+07:00,943.39,946.18,943.39,945.95,918.7423596,0.390654093,5.67518155,5.284527457,75.71935873,71.855753
9082,2020-10-16 13:00:00+07:00,946.08,946.23,942.74,942.74,919.1530337,0.128693721,5.445394608,5.316700887,66.2990298,72.10185182
9083,2020-10-16 14:00:00+07:00,942.82,943.57,939.56,943.3,919.5185393,-0.054977758,5.247978689,5.302956447,67.06875372,71.92402349
9084,2020-10-19 09:00:00+07:00,945.01,946.29,943.5,944.77,919.8902247,-0.121751534,5.15076703,5.272518564,69.06604766,71.87468822
9085,2020-10-19 10:00:00+07:00,945.25,946.15,945.09,945.95,920.287191,-0.129985329,5.110036903,5.240022232,70.60712772,71.89933688
9086,2020-10-19 11:00:00+07:00,946.09,946.16,945.24,945.53,920.6682022,-0.202907767,4.986387523,5.18929529,69.2840809,71.73652423
9087,2020-10-19 13:00:00+07:00,945.34,945.65,941.92,942.82,921.0088764,-0.458233062,4.616503963,5.074737025,61.30216468,70.79308941
9088,2020-10-19 14:00:00+07:00,942.92,943.85,942.87,943.69,921.3621348,-0.584988717,4.343501128,4.928489845,62.78445323,69.9012698
9089,2020-10-20 09:00:00+07:00,941.0,942.77,939.23,940.03,921.6817978,-0.912275382,3.788145618,4.700421,53.5001813,68.59423315
9090,2020-10-20 10:00:00+07:00,940.32,943.17,939.47,941.46,921.9953933,-1.021182921,3.423942349,4.44512527,56.22396015,67.53470882
