,time,open,high,low,close,Volume,Volume MA,MA,Histogram,MACD,Signal,RSI,RSI-based MA
176,2008-03-07 00:30:00+07:00,1332.2,1332.2,1316.17,1320.38,235,214.7,1349.794157,-0.026526203,-7.958201955,-7.931675753,39.0817793,38.17303428
177,2008-03-07 01:30:00+07:00,1320.95,1323.12,1315.49,1318.13,238,214.85,1349.023258,-0.415844215,-8.451481022,-8.035636806,38.13022124,37.99495194
178,2008-03-07 02:30:00+07:00,1318.23,1320.53,1312.16,1314.58,237,215.25,1348.193708,-0.791355302,-9.024830934,-8.233475632,36.6154205,38.08178499
179,2008-03-07 03:30:00+07:00,1314.85,1317.95,1313.44,1315.83,157,215.25,1347.43427,-0.830399118,-9.27147453,-8.441075412,37.55610185,38.38151843
180,2008-03-08 00:30:00+07:00,1301.53,1310.31,1291.42,1305.9,231,214.95,1346.574045,-1.368093861,-10.15119274,-8.783098877,33.32500417,38.04554085
181,2008-03-08 01:30:00+07:00,1305.36,1313.24,1299.1,1299.4,230,214.8,1345.890562,-1.968133746,-11.24326606,-9.275132313,30.87311003,37.62552925
182,2008-03-08 02:30:00+07:00,1299.89,1302.88,1293.8,1295.26,230,214.8,1345.242247,-2.420699816,-12.30100708,-9.880307267,29.38990446,37.36399511
183,2008-03-08 03:30:00+07:00,1295.96,1298.42,1293.92,1296.13,155,214.85,1344.621685,-2.431864133,-12.92013743,-10.4882733,30.14934719,37.33197681
184,2008-03-10 23:30:00+07:00,1293.16,1295.01,1287.0,1289.07,239,215.25,1343.945056,-2.666312496,-13.82116392,-11.15485142,27.55897907,37.07905262
185,2008-03-11 00:30:00+07:00,1289.49,1293.43,1283.45,1283.45,237,215.35,1343.291798,-2.9304463,-14.8179093,-11.887463,25.6683845,36.82070643
186,2008-03-11 01:30:00+07:00,1284.01,1286.04,1278.01,1282.37,239,215.6,1342.524944,-2.90292876,-15.51612395,-12.61319519,25.30906278,35.23880938
187,2008-03-11 02:30:00+07:00,1281.85,1287.67,1281.61,1285.8,158,215.55,1341.867191,-2.399618297,-15.61271806,-13.21309976,28.72175392,33.91349122
188,2008-03-11 23:30:00+07:00,1274.4,1303.2,1274.4,1298.91,160,211.9,1341.359888,-1.001250212,-14.46466253,-13.46341232,40.0050728,33.51633073
189,2008-03-12 00:30:00+07:00,1299.61,1299.9,1293.05,1296.4,162,208.2,1340.966966,-0.109731972,-13.60057728,-13.49084531,38.74062137,32.93748308
